
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2011-03-01T00:00:00.000	+22.093667	+36.971333	GN36201103KAL_00003_269_D90	269	340.0	2011-03-01T00:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T03:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T06:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T09:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T12:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T15:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T18:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-01T21:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T00:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T03:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T06:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T09:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T12:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T15:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T18:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-02T21:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T00:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T03:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T06:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T09:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T12:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T15:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T18:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-03T21:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T00:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T03:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T06:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T09:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T12:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T15:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T18:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-04T21:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-05T00:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-05T03:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-05T06:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-05T09:00:00.000	1	0003	1		9		9		9		9		9		9		9
									2011-03-05T12:00:00.000	1	0003	1		9		9		9		9		9		9		9
